xflr5 v6.61

Mission 1 Iteration 1
T7-VLM2
QInf  =,   35.062996 ,m/s
Alpha = ,  -1.408554
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.125021
Cy    = ,   0.000000
Cd=,   0.013046,ICd=,    0.004253,PCd=,    0.008794
Cl   = ,-2.44683e-17
Cm   =, 0.000829563
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.068664, YCP=,    0.000000, ZCP=,    0.017281 
XNP=,    0.123455
Bending =,    0.000000



Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
    0.5011,   0.3447, -2.787, 0.030814, 0.007445, 0.001500,-0.023604,-0.022553, 0.8337, 0.2094, 0.9828, 0.0000


Elevator
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.2123,   0.1460,  1.323,-0.114527, 0.007703, 0.002649, 0.596243,-0.009064, 0.9176, 0.7443, 0.1707, 0.0000
   -0.2008,   0.1460,  1.265,-0.169320, 0.008001, 0.003743, 0.878708,-0.015195, 0.9408, 0.6935, 0.1601,-0.0017
   -0.1893,   0.1460,  1.205,-0.206259, 0.008219, 0.004346, 1.076123,-0.012371, 0.9508, 0.6604, 0.1899,-0.0058
   -0.1778,   0.1460,  1.148,-0.232941, 0.008381, 0.004674, 1.218398,-0.010673, 0.9574, 0.6366, 0.2040,-0.0129
   -0.1664,   0.1460,  1.094,-0.254588, 0.008510, 0.004870, 1.334556,-0.008577, 0.9620, 0.6170, 0.2162,-0.0233
   -0.1549,   0.1460,  1.047,-0.275371, 0.008633, 0.005038, 1.442731,-0.009916, 0.9658, 0.5981, 0.2138,-0.0375
   -0.1434,   0.1460,  1.003,-0.290198, 0.008721, 0.005088, 1.521461,-0.009327, 0.9683, 0.5848, 0.2177,-0.0556
   -0.1319,   0.1460,  0.963,-0.302593, 0.008795, 0.005093, 1.587284,-0.008834, 0.9704, 0.5736, 0.2207,-0.0780
   -0.1205,   0.1460,  0.926,-0.315163, 0.008869, 0.005101, 1.652408,-0.009962, 0.9724, 0.5623, 0.2182,-0.1047
   -0.1090,   0.1460,  0.891,-0.324114, 0.008924, 0.005046, 1.701264,-0.008296, 0.9739, 0.5540, 0.2243,-0.1360
   -0.0975,   0.1460,  0.858,-0.331211, 0.008967, 0.004970, 1.739746,-0.007237, 0.9750, 0.5473, 0.2280,-0.1720
   -0.0861,   0.1460,  0.830,-0.337412, 0.009005, 0.004898, 1.773562,-0.006119, 0.9759, 0.5414, 0.2317,-0.2128
   -0.0746,   0.1460,  0.807,-0.344105, 0.009046, 0.004857, 1.808227,-0.006741, 0.9769, 0.5351, 0.2303,-0.2585
   -0.0631,   0.1460,  0.788,-0.348448, 0.009073, 0.004801, 1.831363,-0.006508, 0.9775, 0.5310, 0.2312,-0.3092
   -0.0516,   0.1460,  0.772,-0.351894, 0.009094, 0.004751, 1.849645,-0.006394, 0.9780, 0.5278, 0.2317,-0.3649
   -0.0402,   0.1460,  0.760,-0.355158, 0.009114, 0.004717, 1.866280,-0.006971, 0.9784, 0.5247, 0.2302,-0.4257
   -0.0287,   0.1460,  0.750,-0.357355, 0.009128, 0.004685, 1.878541,-0.006296, 0.9787, 0.5226, 0.2322,-0.4917
   -0.0172,   0.1460,  0.743,-0.358615, 0.009135, 0.004660, 1.885459,-0.006023, 0.9789, 0.5214, 0.2331,-0.5628
   -0.0057,   0.1460,  0.740,-0.359224, 0.009139, 0.004647, 1.888789,-0.005909, 0.9790, 0.5209, 0.2334,-0.6391
    0.0057,   0.1460,  0.740,-0.359224, 0.009139, 0.004647, 1.888789,-0.005909, 0.9790, 0.5209, 0.2334,-0.6391
    0.0172,   0.1460,  0.743,-0.358615, 0.009135, 0.004660, 1.885459,-0.006023, 0.9789, 0.5214, 0.2331,-0.5628
    0.0287,   0.1460,  0.750,-0.357355, 0.009128, 0.004685, 1.878541,-0.006296, 0.9787, 0.5226, 0.2322,-0.4917
    0.0402,   0.1460,  0.760,-0.355158, 0.009114, 0.004717, 1.866280,-0.006971, 0.9784, 0.5247, 0.2302,-0.4257
    0.0516,   0.1460,  0.772,-0.351894, 0.009094, 0.004751, 1.849645,-0.006394, 0.9780, 0.5278, 0.2317,-0.3649
    0.0631,   0.1460,  0.788,-0.348448, 0.009073, 0.004801, 1.831363,-0.006508, 0.9775, 0.5310, 0.2312,-0.3092
    0.0746,   0.1460,  0.807,-0.344105, 0.009046, 0.004857, 1.808227,-0.006741, 0.9769, 0.5351, 0.2303,-0.2585
    0.0861,   0.1460,  0.830,-0.337412, 0.009005, 0.004898, 1.773562,-0.006119, 0.9759, 0.5414, 0.2317,-0.2128
    0.0975,   0.1460,  0.858,-0.331211, 0.008967, 0.004970, 1.739746,-0.007237, 0.9750, 0.5473, 0.2280,-0.1720
    0.1090,   0.1460,  0.891,-0.324114, 0.008924, 0.005046, 1.701264,-0.008296, 0.9739, 0.5540, 0.2243,-0.1360
    0.1205,   0.1460,  0.926,-0.315163, 0.008869, 0.005101, 1.652408,-0.009962, 0.9724, 0.5623, 0.2182,-0.1047
    0.1319,   0.1460,  0.963,-0.302593, 0.008795, 0.005093, 1.587284,-0.008834, 0.9704, 0.5736, 0.2207,-0.0780
    0.1434,   0.1460,  1.003,-0.290198, 0.008721, 0.005088, 1.521461,-0.009327, 0.9683, 0.5848, 0.2177,-0.0556
    0.1549,   0.1460,  1.047,-0.275371, 0.008633, 0.005038, 1.442731,-0.009916, 0.9658, 0.5981, 0.2138,-0.0375
    0.1664,   0.1460,  1.094,-0.254588, 0.008510, 0.004870, 1.334556,-0.008577, 0.9620, 0.6170, 0.2162,-0.0233
    0.1778,   0.1460,  1.148,-0.232941, 0.008381, 0.004674, 1.218398,-0.010673, 0.9574, 0.6366, 0.2040,-0.0129
    0.1893,   0.1460,  1.205,-0.206259, 0.008219, 0.004346, 1.076123,-0.012371, 0.9508, 0.6604, 0.1899,-0.0058
    0.2008,   0.1460,  1.265,-0.169320, 0.008001, 0.003743, 0.878708,-0.015195, 0.9408, 0.6935, 0.1601,-0.0017
    0.2123,   0.1460,  1.323,-0.114527, 0.007703, 0.002649, 0.596243,-0.009064, 0.9176, 0.7443, 0.1707, 0.0000


Fin
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.1268,   0.1411,  0.000, 0.000000, 0.007459,-0.000000, 0.009045, 0.000000, 0.8486, 0.8486, 0.2177, 0.0000
   -0.1145,   0.1416,  0.000, 0.000000, 0.007451,-0.000000, 0.008355, 0.000000, 0.8482, 0.8482, 0.2316, 0.0000
   -0.0925,   0.1424,  0.000, 0.000000, 0.007436,-0.000000, 0.007127,-0.000000, 0.8475, 0.8475, 0.2844, 0.0000
   -0.0650,   0.1435,  0.000, 0.000000, 0.007417,-0.000000, 0.005623,-0.000000, 0.8467, 0.8467, 0.3366, 0.0000
   -0.0375,   0.1446,  0.000, 0.000000, 0.007398,-0.000000, 0.004148,-0.000000, 0.8459, 0.8459, 0.3032,-0.0000
   -0.0155,   0.1454, -0.000, 0.000000, 0.007383, 0.000000, 0.002986,-0.000000, 0.8452, 0.8452, 0.4203,-0.0000
   -0.0032,   0.1459,  0.000, 0.000000, 0.007374,-0.000000, 0.002349,-0.000000, 0.8449, 0.8449, 0.5655,-0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
   0,   3.434e-01,  -5.011e-01,   2.172e-04,       0.171,      -0.000,       0.985,   8.716e-06,      0.0661
   1,   3.360e-01,  -5.011e-01,   1.453e-03,       0.156,      -0.000,       0.988,   2.558e-05,      0.0717
   2,   3.191e-01,  -5.011e-01,   3.984e-03,       0.131,      -0.000,       0.991,   4.082e-05,      0.0785
   3,   2.936e-01,  -5.011e-01,   7.101e-03,       0.099,      -0.000,       0.995,   5.359e-05,      0.0841
   4,   2.611e-01,  -5.011e-01,   9.976e-03,       0.059,      -0.000,       0.998,   6.320e-05,      0.0820
   5,   2.234e-01,  -5.011e-01,   1.178e-02,       0.016,      -0.000,       1.000,   6.918e-05,      0.0657
   6,   1.827e-01,  -5.011e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   7.126e-05,      0.0465
   7,   1.415e-01,  -5.011e-01,   1.122e-02,      -0.037,      -0.000,       0.999,   6.922e-05,      0.0302
   8,   1.020e-01,  -5.011e-01,   9.638e-03,      -0.049,      -0.000,       0.999,   6.316e-05,      0.0230
   9,   6.664e-02,  -5.011e-01,   7.771e-03,      -0.064,      -0.000,       0.998,   5.344e-05,      0.0168
  10,   3.742e-02,  -5.011e-01,   5.764e-03,      -0.085,      -0.000,       0.996,   4.062e-05,      0.0142
  11,   1.603e-02,  -5.011e-01,   3.743e-03,      -0.135,      -0.000,       0.991,   2.550e-05,     -0.0060
  12,   3.726e-03,  -5.011e-01,   1.824e-03,      -0.314,      -0.000,       0.949,   9.047e-06,     -1.0208
Strip 2
  13,   3.435e-01,  -4.977e-01,   2.172e-04,       0.171,      -0.000,       0.985,   2.609e-05,      0.0987
  14,   3.360e-01,  -4.977e-01,   1.453e-03,       0.156,      -0.000,       0.988,   7.656e-05,      0.1216
  15,   3.191e-01,  -4.977e-01,   3.984e-03,       0.131,      -0.000,       0.991,   1.222e-04,      0.1347
  16,   2.936e-01,  -4.977e-01,   7.101e-03,       0.099,      -0.000,       0.995,   1.604e-04,      0.1445
  17,   2.611e-01,  -4.977e-01,   9.976e-03,       0.059,      -0.000,       0.998,   1.892e-04,      0.1401
  18,   2.234e-01,  -4.977e-01,   1.178e-02,       0.016,      -0.000,       1.000,   2.071e-04,      0.1122
  19,   1.827e-01,  -4.977e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   2.133e-04,      0.0800
  20,   1.415e-01,  -4.977e-01,   1.122e-02,      -0.037,      -0.000,       0.999,   2.072e-04,      0.0521
  21,   1.020e-01,  -4.977e-01,   9.638e-03,      -0.049,      -0.000,       0.999,   1.891e-04,      0.0393
  22,   6.665e-02,  -4.977e-01,   7.771e-03,      -0.064,      -0.000,       0.998,   1.600e-04,      0.0277
  23,   3.742e-02,  -4.977e-01,   5.764e-03,      -0.085,      -0.000,       0.996,   1.216e-04,      0.0181
  24,   1.603e-02,  -4.977e-01,   3.743e-03,      -0.135,      -0.000,       0.991,   7.632e-05,     -0.0633
  25,   3.726e-03,  -4.977e-01,   1.824e-03,      -0.314,      -0.000,       0.949,   2.708e-05,     -1.5709
Strip 3
  26,   3.435e-01,  -4.909e-01,   2.172e-04,       0.171,      -0.000,       0.985,   4.328e-05,      0.1239
  27,   3.360e-01,  -4.909e-01,   1.453e-03,       0.156,      -0.000,       0.988,   1.270e-04,      0.1668
  28,   3.191e-01,  -4.909e-01,   3.984e-03,       0.131,      -0.000,       0.991,   2.027e-04,      0.1902
  29,   2.936e-01,  -4.909e-01,   7.102e-03,       0.099,      -0.000,       0.995,   2.661e-04,      0.2053
  30,   2.611e-01,  -4.909e-01,   9.976e-03,       0.059,      -0.000,       0.998,   3.138e-04,      0.1994
  31,   2.234e-01,  -4.909e-01,   1.178e-02,       0.016,      -0.000,       1.000,   3.436e-04,      0.1604
  32,   1.827e-01,  -4.909e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   3.539e-04,      0.1148
  33,   1.415e-01,  -4.909e-01,   1.122e-02,      -0.037,      -0.000,       0.999,   3.438e-04,      0.0750
  34,   1.020e-01,  -4.909e-01,   9.639e-03,      -0.049,      -0.000,       0.999,   3.137e-04,      0.0552
  35,   6.665e-02,  -4.909e-01,   7.771e-03,      -0.064,      -0.000,       0.998,   2.654e-04,      0.0357
  36,   3.742e-02,  -4.909e-01,   5.764e-03,      -0.085,      -0.000,       0.996,   2.017e-04,      0.0077
  37,   1.603e-02,  -4.909e-01,   3.743e-03,      -0.135,      -0.000,       0.991,   1.266e-04,     -0.1703
  38,   3.726e-03,  -4.909e-01,   1.824e-03,      -0.314,      -0.000,       0.949,   4.492e-05,     -1.9112
Strip 4
  39,   3.435e-01,  -4.807e-01,   2.172e-04,       0.171,      -0.000,       0.985,   6.018e-05,      0.1427
  40,   3.360e-01,  -4.807e-01,   1.453e-03,       0.156,      -0.000,       0.988,   1.766e-04,      0.2030
  41,   3.191e-01,  -4.807e-01,   3.984e-03,       0.131,      -0.000,       0.991,   2.819e-04,      0.2390
  42,   2.936e-01,  -4.807e-01,   7.102e-03,       0.099,      -0.000,       0.995,   3.701e-04,      0.2607
  43,   2.611e-01,  -4.807e-01,   9.976e-03,       0.059,      -0.000,       0.998,   4.364e-04,      0.2542
  44,   2.234e-01,  -4.807e-01,   1.178e-02,       0.016,      -0.000,       1.000,   4.777e-04,      0.2059
  45,   1.827e-01,  -4.807e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   4.920e-04,      0.1482
  46,   1.415e-01,  -4.807e-01,   1.122e-02,      -0.037,      -0.000,       0.999,   4.780e-04,      0.0970
  47,   1.020e-01,  -4.807e-01,   9.639e-03,      -0.049,      -0.000,       0.999,   4.361e-04,      0.0690
  48,   6.665e-02,  -4.807e-01,   7.771e-03,      -0.064,      -0.000,       0.998,   3.690e-04,      0.0382
  49,   3.742e-02,  -4.807e-01,   5.764e-03,      -0.085,      -0.000,       0.996,   2.805e-04,     -0.0172
  50,   1.603e-02,  -4.807e-01,   3.743e-03,      -0.135,      -0.000,       0.991,   1.761e-04,     -0.2666
  51,   3.726e-03,  -4.807e-01,   1.824e-03,      -0.314,      -0.000,       0.949,   6.247e-05,     -2.1226
Strip 5
  52,   3.435e-01,  -4.673e-01,   2.173e-04,       0.171,      -0.000,       0.985,   7.667e-05,      0.1575
  53,   3.360e-01,  -4.673e-01,   1.453e-03,       0.156,      -0.000,       0.988,   2.250e-04,      0.2311
  54,   3.191e-01,  -4.673e-01,   3.984e-03,       0.131,      -0.000,       0.991,   3.591e-04,      0.2797
  55,   2.936e-01,  -4.673e-01,   7.102e-03,       0.099,      -0.000,       0.995,   4.714e-04,      0.3086
  56,   2.611e-01,  -4.673e-01,   9.976e-03,       0.059,      -0.000,       0.998,   5.559e-04,      0.3026
  57,   2.234e-01,  -4.673e-01,   1.178e-02,       0.016,      -0.000,       1.000,   6.086e-04,      0.2473
  58,   1.827e-01,  -4.673e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   6.268e-04,      0.1792
  59,   1.415e-01,  -4.673e-01,   1.123e-02,      -0.037,      -0.000,       0.999,   6.089e-04,      0.1174
  60,   1.020e-01,  -4.673e-01,   9.639e-03,      -0.049,      -0.000,       0.999,   5.556e-04,      0.0800
  61,   6.665e-02,  -4.673e-01,   7.771e-03,      -0.064,      -0.000,       0.998,   4.701e-04,      0.0356
  62,   3.742e-02,  -4.673e-01,   5.764e-03,      -0.085,      -0.000,       0.996,   3.573e-04,     -0.0464
  63,   1.603e-02,  -4.673e-01,   3.743e-03,      -0.135,      -0.000,       0.991,   2.243e-04,     -0.3363
  64,   3.726e-03,  -4.673e-01,   1.824e-03,      -0.314,      -0.000,       0.949,   7.958e-05,     -2.2664
Strip 6
  65,   3.435e-01,  -4.506e-01,   2.173e-04,       0.171,      -0.000,       0.985,   9.264e-05,      0.1692
  66,   3.360e-01,  -4.506e-01,   1.453e-03,       0.156,      -0.000,       0.988,   2.719e-04,      0.2531
  67,   3.191e-01,  -4.506e-01,   3.984e-03,       0.131,      -0.000,       0.991,   4.339e-04,      0.3124
  68,   2.936e-01,  -4.506e-01,   7.102e-03,       0.099,      -0.000,       0.995,   5.696e-04,      0.3486
  69,   2.611e-01,  -4.506e-01,   9.977e-03,       0.059,      -0.000,       0.998,   6.717e-04,      0.3439
  70,   2.234e-01,  -4.506e-01,   1.178e-02,       0.016,      -0.000,       1.000,   7.353e-04,      0.2836
  71,   1.827e-01,  -4.506e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   7.574e-04,      0.2069
  72,   1.415e-01,  -4.506e-01,   1.123e-02,      -0.037,      -0.000,       0.999,   7.358e-04,      0.1356
  73,   1.020e-01,  -4.506e-01,   9.639e-03,      -0.049,      -0.000,       0.999,   6.713e-04,      0.0883
  74,   6.665e-02,  -4.506e-01,   7.772e-03,      -0.064,      -0.000,       0.998,   5.680e-04,      0.0301
  75,   3.742e-02,  -4.506e-01,   5.764e-03,      -0.085,      -0.000,       0.996,   4.318e-04,     -0.0717
  76,   1.603e-02,  -4.506e-01,   3.743e-03,      -0.135,      -0.000,       0.991,   2.710e-04,     -0.3844
  77,   3.726e-03,  -4.506e-01,   1.825e-03,      -0.314,      -0.000,       0.949,   9.615e-05,     -2.3664
Strip 7
  78,   3.435e-01,  -4.309e-01,   2.173e-04,       0.171,      -0.000,       0.985,   1.080e-04,      0.1785
  79,   3.360e-01,  -4.309e-01,   1.453e-03,       0.156,      -0.000,       0.988,   3.169e-04,      0.2703
  80,   3.191e-01,  -4.309e-01,   3.984e-03,       0.131,      -0.000,       0.991,   5.057e-04,      0.3383
  81,   2.936e-01,  -4.309e-01,   7.102e-03,       0.099,      -0.000,       0.995,   6.639e-04,      0.3809
  82,   2.611e-01,  -4.309e-01,   9.977e-03,       0.059,      -0.000,       0.998,   7.829e-04,      0.3781
  83,   2.234e-01,  -4.309e-01,   1.178e-02,       0.016,      -0.000,       1.000,   8.571e-04,      0.3145
  84,   1.827e-01,  -4.309e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   8.827e-04,      0.2309
  85,   1.415e-01,  -4.309e-01,   1.123e-02,      -0.037,      -0.000,       0.999,   8.576e-04,      0.1513
  86,   1.020e-01,  -4.309e-01,   9.640e-03,      -0.049,      -0.000,       0.999,   7.825e-04,      0.0945
  87,   6.665e-02,  -4.309e-01,   7.772e-03,      -0.064,      -0.000,       0.998,   6.620e-04,      0.0246
  88,   3.742e-02,  -4.309e-01,   5.764e-03,      -0.085,      -0.000,       0.996,   5.032e-04,     -0.0903
  89,   1.603e-02,  -4.309e-01,   3.744e-03,      -0.135,      -0.000,       0.991,   3.159e-04,     -0.4170
  90,   3.727e-03,  -4.309e-01,   1.825e-03,      -0.314,      -0.000,       0.949,   1.121e-04,     -2.4352
Strip 8
  91,   3.435e-01,  -4.082e-01,   2.173e-04,       0.171,      -0.000,       0.985,   1.226e-04,      0.1859
  92,   3.361e-01,  -4.082e-01,   1.453e-03,       0.156,      -0.000,       0.988,   3.597e-04,      0.2836
  93,   3.191e-01,  -4.082e-01,   3.984e-03,       0.131,      -0.000,       0.991,   5.741e-04,      0.3584
  94,   2.936e-01,  -4.082e-01,   7.103e-03,       0.099,      -0.000,       0.995,   7.537e-04,      0.4064
  95,   2.611e-01,  -4.082e-01,   9.977e-03,       0.059,      -0.000,       0.998,   8.888e-04,      0.4056
  96,   2.234e-01,  -4.082e-01,   1.178e-02,       0.016,      -0.000,       1.000,   9.730e-04,      0.3399
  97,   1.828e-01,  -4.082e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   1.002e-03,      0.2512
  98,   1.415e-01,  -4.082e-01,   1.123e-02,      -0.037,      -0.000,       0.999,   9.735e-04,      0.1644
  99,   1.020e-01,  -4.082e-01,   9.640e-03,      -0.049,      -0.000,       0.999,   8.883e-04,      0.0995
 100,   6.666e-02,  -4.082e-01,   7.772e-03,      -0.064,      -0.000,       0.998,   7.515e-04,      0.0207
 101,   3.742e-02,  -4.082e-01,   5.765e-03,      -0.085,      -0.000,       0.996,   5.713e-04,     -0.1026
 102,   1.603e-02,  -4.082e-01,   3.744e-03,      -0.135,      -0.000,       0.991,   3.586e-04,     -0.4383
 103,   3.727e-03,  -4.082e-01,   1.825e-03,      -0.314,      -0.000,       0.949,   1.272e-04,     -2.4807
Strip 9
 104,   3.435e-01,  -3.827e-01,   2.173e-04,       0.171,      -0.000,       0.985,   1.363e-04,      0.1916
 105,   3.361e-01,  -3.827e-01,   1.453e-03,       0.156,      -0.000,       0.988,   4.001e-04,      0.2940
 106,   3.191e-01,  -3.827e-01,   3.985e-03,       0.131,      -0.000,       0.991,   6.386e-04,      0.3738
 107,   2.936e-01,  -3.827e-01,   7.103e-03,       0.099,      -0.000,       0.995,   8.383e-04,      0.4261
 108,   2.611e-01,  -3.827e-01,   9.978e-03,       0.059,      -0.000,       0.998,   9.886e-04,      0.4272
 109,   2.234e-01,  -3.827e-01,   1.178e-02,       0.016,      -0.000,       1.000,   1.082e-03,      0.3604
 110,   1.828e-01,  -3.827e-01,   1.211e-02,      -0.016,      -0.000,       1.000,   1.115e-03,      0.2677
 111,   1.415e-01,  -3.827e-01,   1.123e-02,      -0.037,      -0.000,       0.999,   1.083e-03,      0.1754
 112,   1.020e-01,  -3.827e-01,   9.640e-03,      -0.049,      -0.000,       0.999,   9.880e-04,      0.1040
 113,   6.666e-02,  -3.827e-01,   7.773e-03,      -0.064,      -0.000,       0.998,   8.359e-04,      0.0189
 114,   3.742e-02,  -3.827e-01,   5.765e-03,      -0.085,      -0.000,       0.996,   6.354e-04,     -0.1098
 115,   1.603e-02,  -3.827e-01,   3.744e-03,      -0.135,      -0.000,       0.991,   3.988e-04,     -0.4512
 116,   3.727e-03,  -3.827e-01,   1.825e-03,      -0.314,      -0.000,       0.949,   1.415e-04,     -2.5088
Strip 10
 117,   3.435e-01,  -3.547e-01,   2.173e-04,       0.171,      -0.000,       0.985,   1.492e-04,      0.1960
 118,   3.361e-01,  -3.547e-01,   1.453e-03,       0.156,      -0.000,       0.988,   4.378e-04,      0.3019
 119,   3.191e-01,  -3.547e-01,   3.985e-03,       0.131,      -0.000,       0.991,   6.987e-04,      0.3856
 120,   2.937e-01,  -3.547e-01,   7.103e-03,       0.099,      -0.000,       0.995,   9.173e-04,      0.4411
